epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.699321448802948,9.999999747378752e-05,0.5766937732696533,0.795634925365448,0.4984637200832367
1,0.8015267252922058,9.999999747378752e-05,0.4492952525615692,0.8392857313156128,0.41185998916625977
2,0.8312128782272339,9.999999747378752e-05,0.4108397364616394,0.8611111044883728,0.37782227993011475
3,0.8413910269737244,9.999999747378752e-05,0.37070387601852417,0.8650793433189392,0.36561766266822815
4,0.8604750037193298,9.999999747378752e-05,0.3348713219165802,0.8849206566810608,0.3343227505683899
5,0.8825275897979736,9.999999747378752e-05,0.31796708703041077,0.8888888955116272,0.31161195039749146
6,0.8876166343688965,9.999999747378752e-05,0.289328932762146,0.8948412537574768,0.30190402269363403
7,0.8982188105583191,9.999999747378752e-05,0.2688838541507721,0.9027777910232544,0.27697405219078064
8,0.9007633328437805,9.999999747378752e-05,0.2589642107486725,0.9027777910232544,0.2778562307357788
9,0.8977947235107422,9.999999747378752e-05,0.2587159276008606,0.9027777910232544,0.2531193494796753
10,0.9177268743515015,9.999999747378752e-05,0.2359742671251297,0.9246031641960144,0.23620739579200745
11,0.9079728722572327,9.999999747378752e-05,0.2384423017501831,0.8948412537574768,0.25408807396888733
12,0.9215436577796936,9.999999747378752e-05,0.2142793983221054,0.9186508059501648,0.22277754545211792
13,0.9291772842407227,9.999999747378752e-05,0.2041212022304535,0.9365079402923584,0.21168747544288635
14,0.9355385899543762,9.999999747378752e-05,0.1894172728061676,0.9246031641960144,0.2144220769405365
15,0.9240882396697998,9.999999747378752e-05,0.20589770376682281,0.9265872836112976,0.20405949652194977
16,0.9368108510971069,9.999999747378752e-05,0.18636077642440796,0.9305555820465088,0.2045748233795166
17,0.9240882396697998,9.999999747378752e-05,0.19389842450618744,0.9384920597076416,0.1871216744184494
18,0.9397794604301453,9.999999747378752e-05,0.1685768961906433,0.9464285969734192,0.1828942596912384
19,0.9435962438583374,9.999999747378752e-05,0.1605437844991684,0.9523809552192688,0.16846171021461487
20,0.9427480697631836,9.999999747378752e-05,0.16180868446826935,0.942460298538208,0.16925905644893646
21,0.953350305557251,9.999999747378752e-05,0.14169955253601074,0.9563491940498352,0.16369697451591492
22,0.9550466537475586,9.999999747378752e-05,0.13667787611484528,0.9503968358039856,0.16003811359405518
23,0.9478371739387512,9.999999747378752e-05,0.14098989963531494,0.9384920597076416,0.16943013668060303
24,0.9525021314620972,9.999999747378752e-05,0.13707773387432098,0.954365074634552,0.16401758790016174
25,0.9601356983184814,9.999999747378752e-05,0.13055740296840668,0.9384920597076416,0.17177437245845795
26,0.9601356983184814,9.999999747378752e-05,0.12338028848171234,0.954365074634552,0.1491355448961258
27,0.9525021314620972,9.999999747378752e-05,0.1325746476650238,0.9583333134651184,0.13833269476890564
28,0.9601356983184814,9.999999747378752e-05,0.12090405821800232,0.9503968358039856,0.15203635394573212
29,0.9669210910797119,9.999999747378752e-05,0.11402519047260284,0.9603174328804016,0.1313990205526352
