epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.7489397525787354,9.999999747378752e-05,0.5455259680747986,0.8353174328804016,0.4544995427131653
1,0.8367260098457336,9.999999747378752e-05,0.4159049093723297,0.851190447807312,0.3733002543449402
2,0.864291787147522,9.999999747378752e-05,0.35832783579826355,0.863095223903656,0.3557342290878296
3,0.8736217021942139,9.999999747378752e-05,0.32410135865211487,0.8769841194152832,0.30363279581069946
4,0.8837998509407043,9.999999747378752e-05,0.30253103375434875,0.8849206566810608,0.2796019911766052
5,0.9033079147338867,9.999999747378752e-05,0.2672865092754364,0.9047619104385376,0.2709495425224304
6,0.9024597406387329,9.999999747378752e-05,0.24545137584209442,0.9166666865348816,0.2539134919643402
7,0.9147582650184631,9.999999747378752e-05,0.22811760008335114,0.9107142686843872,0.23115622997283936
8,0.9287531971931458,9.999999747378752e-05,0.2073395699262619,0.9027777910232544,0.2471667230129242
9,0.9240882396697998,9.999999747378752e-05,0.20047028362751007,0.9166666865348816,0.20996230840682983
10,0.9325699806213379,9.999999747378752e-05,0.18890893459320068,0.9166666865348816,0.2186937928199768
11,0.9351145029067993,9.999999747378752e-05,0.1856207251548767,0.932539701461792,0.19542722404003143
12,0.9402035474777222,9.999999747378752e-05,0.17847974598407745,0.9265872836112976,0.21951080858707428
13,0.9376590251922607,9.999999747378752e-05,0.17261303961277008,0.9404761791229248,0.17891182005405426
14,0.9499576091766357,9.999999747378752e-05,0.14789846539497375,0.932539701461792,0.19091691076755524
15,0.9427480697631836,9.999999747378752e-05,0.15286800265312195,0.932539701461792,0.20100556313991547
16,0.9537743926048279,9.999999747378752e-05,0.14049941301345825,0.9484127163887024,0.1736983060836792
17,0.9529262185096741,9.999999747378752e-05,0.13717466592788696,0.9503968358039856,0.14490769803524017
18,0.9558948278427124,9.999999747378752e-05,0.13309645652770996,0.9583333134651184,0.15550543367862701
19,0.9554707407951355,9.999999747378752e-05,0.1332119107246399,0.9623016119003296,0.14635811746120453
20,0.966497004032135,9.999999747378752e-05,0.12254367023706436,0.9623016119003296,0.1350768655538559
21,0.9584393501281738,9.999999747378752e-05,0.12141327559947968,0.9642857313156128,0.14627762138843536
22,0.9605597853660583,9.999999747378752e-05,0.1191844493150711,0.9682539701461792,0.13180361688137054
23,0.9643765687942505,9.999999747378752e-05,0.10818991810083389,0.9682539701461792,0.12637747824192047
24,0.9669210910797119,9.999999747378752e-05,0.10849247872829437,0.9464285969734192,0.15859660506248474
25,0.9737065434455872,9.999999747378752e-05,0.09489554911851883,0.966269850730896,0.1281830221414566
26,0.9720101952552795,9.999999747378752e-05,0.10172881186008453,0.9484127163887024,0.1549779772758484
27,0.9715861082077026,9.999999747378752e-05,0.09270622581243515,0.9742063283920288,0.11892528831958771
28,0.966497004032135,9.999999747378752e-05,0.10049377381801605,0.9682539701461792,0.12639372050762177
29,0.9762510657310486,9.999999747378752e-05,0.08715325593948364,0.9702380895614624,0.12361840903759003
