epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.7425784468650818,9.999999747378752e-05,0.5289812684059143,0.8452380895614624,0.3824908435344696
1,0.8443596363067627,9.999999747378752e-05,0.3728537857532501,0.8888888955116272,0.32648083567619324
2,0.8833757638931274,9.999999747378752e-05,0.2976147532463074,0.9305555820465088,0.24658098816871643
3,0.898642897605896,9.999999747378752e-05,0.261590838432312,0.9126983880996704,0.24034425616264343
4,0.9143341779708862,9.999999747378752e-05,0.22380709648132324,0.9464285969734192,0.1961749941110611
5,0.9249364137649536,9.999999747378752e-05,0.19574183225631714,0.9166666865348816,0.202317014336586
6,0.9351145029067993,9.999999747378752e-05,0.1802840232849121,0.898809552192688,0.2205285280942917
7,0.9431721568107605,9.999999747378752e-05,0.1606852412223816,0.954365074634552,0.14158760011196136
8,0.9529262185096741,9.999999747378752e-05,0.13243499398231506,0.9623016119003296,0.1264178454875946
9,0.9558948278427124,9.999999747378752e-05,0.13452672958374023,0.9503968358039856,0.14132744073867798
10,0.9588634371757507,9.999999747378752e-05,0.11947856843471527,0.9642857313156128,0.12227833271026611
11,0.9631043076515198,9.999999747378752e-05,0.11453808844089508,0.9384920597076416,0.16012246906757355
12,0.9660729169845581,9.999999747378752e-05,0.1034146100282669,0.9583333134651184,0.13123063743114471
13,0.9686174988746643,9.999999747378752e-05,0.0958762988448143,0.9623016119003296,0.11258774995803833
14,0.969889760017395,9.999999747378752e-05,0.08981409668922424,0.9642857313156128,0.10648711025714874
15,0.9728583693504333,9.999999747378752e-05,0.09351957589387894,0.9702380895614624,0.09507034718990326
16,0.9766751527786255,9.999999747378752e-05,0.08164727687835693,0.9623016119003296,0.09152821451425552
17,0.9775233268737793,9.999999747378752e-05,0.0729234591126442,0.9642857313156128,0.09448406845331192
18,0.9741306304931641,9.999999747378752e-05,0.07665500044822693,0.9583333134651184,0.11780182272195816
19,0.9800678491592407,9.999999747378752e-05,0.06281058490276337,0.9841269850730896,0.0769343227148056
20,0.9775233268737793,9.999999747378752e-05,0.07067281752824783,0.976190447807312,0.07706056535243988
21,0.9864291548728943,9.999999747378752e-05,0.05665990337729454,0.9742063283920288,0.07481114566326141
22,0.9809160232543945,9.999999747378752e-05,0.060937780886888504,0.9742063283920288,0.07274027168750763
23,0.9855809807777405,9.999999747378752e-05,0.05171194300055504,0.97817462682724,0.07083486765623093
24,0.9826123714447021,9.999999747378752e-05,0.05813678354024887,0.9722222089767456,0.07308291643857956
25,0.9817641973495483,9.999999747378752e-05,0.05784729868173599,0.97817462682724,0.0743107721209526
26,0.9838846325874329,9.999999747378752e-05,0.051633983850479126,0.9821428656578064,0.06601468473672867
27,0.9885495901107788,9.999999747378752e-05,0.04204724356532097,0.9821428656578064,0.06623779237270355
28,0.9893978238105774,9.999999747378752e-05,0.03995504230260849,0.9742063283920288,0.06435747444629669
29,0.991094172000885,9.999999747378752e-05,0.03964995965361595,0.9821428656578064,0.05837615206837654
