epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.6967769265174866,9.999999747378752e-05,0.5721542835235596,0.7559523582458496,0.5215266942977905
1,0.8104325532913208,9.999999747378752e-05,0.4416259527206421,0.8055555820465088,0.4399818181991577
2,0.8371501564979553,9.999999747378752e-05,0.4009682834148407,0.783730149269104,0.4526444375514984
3,0.8469041585922241,9.999999747378752e-05,0.36507460474967957,0.7797619104385376,0.44832611083984375
4,0.8672603964805603,9.999999747378752e-05,0.33128848671913147,0.8134920597076416,0.39580038189888
5,0.8770143985748291,9.999999747378752e-05,0.3157687783241272,0.8115079402923584,0.38897618651390076
6,0.8905852437019348,9.999999747378752e-05,0.2911109924316406,0.8035714030265808,0.42040008306503296
7,0.8990669846534729,9.999999747378752e-05,0.2752231955528259,0.8789682388305664,0.3086334466934204
8,0.9050042629241943,9.999999747378752e-05,0.2588295340538025,0.8134920597076416,0.3821844458580017
9,0.9041560888290405,9.999999747378752e-05,0.25250566005706787,0.89682537317276,0.2744886875152588
10,0.9016115069389343,9.999999747378752e-05,0.246037557721138,0.8730158805847168,0.3093145787715912
11,0.9083969593048096,9.999999747378752e-05,0.23623129725456238,0.9226190447807312,0.24703197181224823
12,0.9194232225418091,9.999999747378752e-05,0.21644705533981323,0.8849206566810608,0.27728530764579773
13,0.9245123267173767,9.999999747378752e-05,0.21199241280555725,0.8333333134651184,0.3619934022426605
14,0.9253605008125305,9.999999747378752e-05,0.2045968621969223,0.942460298538208,0.2210351675748825
15,0.9253605008125305,9.999999747378752e-05,0.20100055634975433,0.9166666865348816,0.23953968286514282
16,0.9296013712882996,9.999999747378752e-05,0.19374679028987885,0.8928571343421936,0.2672087252140045
17,0.9304495453834534,9.999999747378752e-05,0.18724577128887177,0.9126983880996704,0.234370157122612
18,0.9389312863349915,9.999999747378752e-05,0.17485620081424713,0.9146825671195984,0.2319767028093338
19,0.9469889998435974,4.999999873689376e-05,0.1587657928466797,0.8789682388305664,0.2646888494491577
20,0.9465649127960205,4.999999873689376e-05,0.16254457831382751,0.886904776096344,0.25365588068962097
21,0.9461408257484436,4.999999873689376e-05,0.15415745973587036,0.9126983880996704,0.23391927778720856
22,0.9541984796524048,4.999999873689376e-05,0.1457679122686386,0.8789682388305664,0.27131834626197815
